Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
Titanium Beta CEZ Unaged,"{'metric_value': '4.69', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '122', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '960', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1040', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.580', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '5.0 %', '5.0 %', ''], ['Chromium, Cr', '2.0 %', '2.0 %', ''], ['Iron, Fe', '1.0 %', '1.0 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '82 %', '82 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
"Kobe Steel KS6-2-4-2 Alpha Titanium Alloy, AMS 4976, Solution treated and aged","{'metric_value': '4.54', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '827', 'metric_unit': 'MPa', 'comment': '0.2% proof'}","{'metric_value': '896', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.10 %', '<= 0.10 %', ''], ['Molybdenum, Mo', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '0.060 - 0.10 %', '0.060 - 0.10 %', ''], ['Tin, Sn', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Titanium, Ti', '>= 84.235 %', '>= 84.235 %', 'As Remainder'], ['Zirconium, Zr', '3.6 - 4.4 %', '3.6 - 4.4 %', '']]"
"Titanium Beta C (Ti-3Al-8V-6Cr-4Mo-4Zr ST 815°C, Aged 510°C","{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '104', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1170', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1240', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '240', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.0'}","{'metric_value': '0.515', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '8.30 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Chromium, Cr', '6.0 %', '6.0 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.14 %', '<= 0.14 %', ''], ['Titanium, Ti', '75 %', '75 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
"Titanium Transage 129, Triplex Heat Treat 815/650/425°C","{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '108', 'metric_unit': 'GPa', 'comment': 'After Duplex Heat Treat 815/540ºC'}","{'metric_value': '1250', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1390', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.0 %', '2.0 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '73.5 %', '73.5 %', ''], ['Vanadium, V', '11.5 %', '11.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '11 %', '11 %', '']]"
Titanium IMI 834,"{'metric_value': '4.55', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '120', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '925', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1050', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '340', 'metric_unit': 'MPa', 'comment': 'kt= 2.0, wrought 50 mm diameter bar.'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '10.6 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Aluminum, Al', '5.8 %', '5.8 %', ''], ['Molybdenum, Mo', '0.50 %', '0.50 %', ''], ['Niobium, Nb (Columbium, Cb)', '0.70 %', '0.70 %', ''], ['Silicon, Si', '0.35 %', '0.35 %', ''], ['Tin, Sn', '4.0 %', '4.0 %', ''], ['Titanium, Ti', '85 %', '85 %', ''], ['Zirconium, Zr', '3.5 %', '3.5 %', '']]"
"Titanium Ti-6Al-2Nb-1Ta-0.8Mo (Ti-621/0.8), STA","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '115', 'metric_unit': 'GPa', 'comment': 'Value for annealed sample'}","{'metric_value': '790', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '900', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.552', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '9.20 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '93.0 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.030 %', '<= 0.030 %', ''], ['Hydrogen, H', '<= 0.10 %', '<= 0.10 %', ''], ['Iron, Fe', '<= 0.12 %', '<= 0.12 %', ''], ['Molybdenum, Mo', '0.80 %', '0.80 %', ''], ['Niobium, Nb (Columbium, Cb)', '2.0 %', '2.0 %', ''], ['Nitrogen, N', '<= 0.020 %', '<= 0.020 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.10 %', '<= 0.10 %', ''], ['Tantalum, Ta', '1.0 %', '1.0 %', ''], ['Titanium, Ti', '90 %', '90 %', '']]"
Titanium Ti-15Mo-5Zr-3Al Solution Treated 735°C,"{'metric_value': '5.01', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'GPa', 'comment': 'Sample was ST 790ºC, Aged 510ºC'}",,"{'metric_value': '1090', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.540', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Molybdenum, Mo', '15 %', '15 %', ''], ['Titanium, Ti', '77 %', '77 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
EOS Tungsten W1 Powder,,,,,,,,"[['Tungsten, W', '100 %', '100 %', 'Nominal']]"
Special Metals Nitinol Body-Temperature Ni-Ti alloy,"{'metric_value': '6.50', 'metric_unit': 'g/cc', 'comment': ''}",,,"{'metric_value': '1240', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.050 %', '<= 0.050 %', ''], ['Nickel, Ni', '55 - 56 %', '55 - 56 %', ''], ['Other', '<= 0.010 %', '<= 0.010 %', ''], ['Oxygen, O', '<= 0.050 %', '<= 0.050 %', ''], ['Titanium, Ti', '43.835 - 45 %', '43.835 - 45 %', ''], [''], [], ['Lower superelastic plateau stress, ksi', '2', ''], ['Upper superelastic plateau stress, ksi', '50', '']]"
"ATI Wah Chang 425™ Titanium Alloy, Solution Treated Annealed Bar 0.5 - 1.23 in. dia","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '1050', 'metric_unit': 'MPa', 'comment': 'Long.'}","{'metric_value': '1190', 'metric_unit': 'MPa', 'comment': 'Long.'}",,,,"[['Aluminum, Al', '4.0 %', '4.0 %', ''], ['Iron, Fe', '1.5 %', '1.5 %', ''], ['O2', '0.25 %', '0.25 %', ''], ['Titanium, Ti', '91.75 %', '91.75 %', ''], ['Vanadium, V', '2.5 %', '2.5 %', '']]"
Sandvik Bioline Ti6Al4V ELI Bar,,,"{'metric_value': '870', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '940', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.012 %', '<= 0.012 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '88.48 - 91 %', '88.48 - 91 %', ''], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', '']]"
Universal Wire Works Commercially Pure (AMS 4951) Titanium Alloy Filler Metal,,,"{'metric_value': '172', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '345', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other', '<= 0.60 %', '<= 0.60 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '98.885 - 100 %', '98.885 - 100 %', 'As Remainder']]"
Titanium Ti-6Al-6V-2Sn (Ti-6-6-2) STA 870°C/565°C,"{'metric_value': '4.54', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '112', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1035', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1100', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '190', 'metric_unit': 'MPa', 'comment': 'notched'}","{'metric_value': '0.670', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '9.40 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '315 °C'}]","[['Aluminum, Al', '5.0 - 6.0 %', '5.0 - 6.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Copper, Cu', '0.35 - 1.0 %', '0.35 - 1.0 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '0.35 - 1.0 %', '0.35 - 1.0 %', ''], ['Nitrogen, N', '<= 0.040 %', '<= 0.040 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Tin, Sn', '1.5 - 2.5 %', '1.5 - 2.5 %', ''], ['Titanium, Ti', '82.895 - 87.8 %', '82.895 - 87.8 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '5.0 - 6.0 %', '5.0 - 6.0 %', ''], [''], [], ['Crystal Structure', 'bcc', 'Beta'], ['', 'cph', 'Alpha']]"
Universal Wire Works 8Al-1Mo-1V (AMS 4955) Titanium Alloy Filler Metal,,,,,,,,"[['Aluminum, Al', '8.0 %', '8.0 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.010 %', '<= 0.010 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '1.0 %', '1.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '>= 89.04 %', '>= 89.04 %', 'As Remainder'], ['Vanadium, V', '1.0 %', '1.0 %', '']]"
Ti-24Al-14Nb Titanium Aluminide,,,"{'metric_value': '831', 'metric_unit': 'MPa', 'comment': 'Widmanstätten microstructure'}","{'metric_value': '977', 'metric_unit': 'MPa', 'comment': 'Widmanstätten microstructure'}",,,,"[['Aluminum, Al', '13.2 %', '13.2 %', 'by weight'], ['Niobium, Nb (Columbium, Cb)', '26.5 %', '26.5 %', 'by weight'], ['Titanium, Ti', '60.4 %', '60.4 %', 'by weight']]"
Matexcel MET-0020 Titanium-based TA15 Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 7.1 %', '5.5 - 7.1 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '0.50 - 2.0 %', '0.50 - 2.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '0.10 %', '0.10 %', ''], ['Other, total', '0.30 %', '0.30 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '84.905 - 91.4 %', '84.905 - 91.4 %', ''], ['Vanadium, V', '0.80 - 2.5 %', '0.80 - 2.5 %', ''], ['Zirconium, Zr', '<= 0.15 %', '<= 0.15 %', ''], ['', '1.5 - 2.5 %', '1.5 - 2.5 %', '']]"
Matexcel MET-0016 Titanium-based TC4 Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 6.75 %', '5.5 - 6.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.060 %', '<= 0.060 %', ''], ['Nitrogen, N', '<= 0.010 %', '<= 0.010 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '88.315 - 91 %', '88.315 - 91 %', ''], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', '']]"
Goodfellow Titanium 84/Molybdenum 16 Alloy,,,,,,,,"[['Molybdenum, Mo', '16 %', '16 %', ''], ['Titanium, Ti', '84 %', '84 %', '']]"
ATI Wah Chang TI-45 Nb,"{'metric_value': '5.70', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '62.05', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '480', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '546', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Niobium, Nb (Columbium, Cb)', '45 %', '45 %', ''], ['Titanium, Ti', '55 %', '55 %', ''], [''], [], ['Thermal Diffusivity, ft²/sec', '46.3', '']]"
Titanium Ti-5Al-2Zr-2Mo-0.25Si,"{'metric_value': '4.51', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '113.8', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '900', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '970', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.500', 'metric_unit': 'J/g-°C', 'comment': 'Estimated from similar materials'}","[{'value': '9.00 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '5.0 %', '5.0 %', ''], ['Molybdenum, Mo', '2.0 %', '2.0 %', ''], ['Silicon, Si', '0.25 %', '0.25 %', ''], ['Titanium, Ti', '91 %', '91 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
